ror_id,count,display_name
03gds6c39,61,The University of Texas Health Science Center at Houston
03xjacd83,61,Cleveland Clinic
0176yjw32,61,Universidade Federal de Minas Gerais
03q21mh05,61,Cairo University
010pmpe69,60,Lomonosov Moscow State University
017zhmm22,60,Xi'an Jiaotong University
020f3ap87,60,University of Tennessee at Knoxville
059gcgy73,60,Nanjing Medical University
01kg8sb98,60,Indiana University
03efmqc40,59,Arizona State University
02fa3aq29,59,McMaster University
01xtthb56,59,University of Oslo
02s376052,59,École Polytechnique Fédérale de Lausanne
01tm6cn81,59,University of Gothenburg
01ryk1543,58,University of Southampton
009avj582,58,Oregon Health & Science University
03njmea73,58,Duke Medical Center
02jz4aj89,58,Maastricht University
02en5vm52,57,Sorbonne Université
04tj63d06,57,North Carolina State University
05krs5044,57,University of Sheffield
01rxvg760,57,Nanjing University
01kj2bm70,57,Newcastle University
02495e989,57,UCLouvain
0207ad724,57,Wake Forest University
027ynra39,57,University of Bari Aldo Moro
024mrxd33,56,University of Leeds
04xs57h96,56,University of Liverpool
02e16g702,56,Hokkaido University
02p0gd045,56,Universidad Complutense de Madrid
037zgn354,56,Johns Hopkins Medicine
01y9bpm73,56,University of Göttingen
00pg5jh14,56,Assistance Publique – Hôpitaux de Paris
02gfys938,56,University of Manitoba
01hcx6992,56,Humboldt-Universität zu Berlin
02dqehb95,55,Purdue University West Lafayette
03prydq77,55,University of Vienna
023b0x485,55,Johannes Gutenberg University Mainz
008xxew50,55,Vrije Universiteit Amsterdam
016xsfp80,54,Radboud University Nijmegen
019wvm592,54,Australian National University
00mv6sv71,54,University of Zagreb
03mchdq19,54,Rigshospitalet
043nxc105,53,Universitat de València
02qsmb048,53,University of Belgrade
01rdrb571,53,Philipps University of Marburg
0112mx960,52,Tokyo Institute of Technology
032db5x82,52,University of South Florida
041akq887,52,Universidade Federal de Santa Catarina
035a68863,52,United States Geological Survey
02k5swt12,52,Universidade Federal de São Paulo
02ttsq026,51,University of Colorado Boulder
02k3smh20,51,University of Kentucky
01y64my43,51,"University at Buffalo, State University of New York"
02956yf07,51,University of Tsukuba
01e3m7079,51,University of Cincinnati
01swzsf04,51,University of Geneva
03p74gp79,51,University of Cape Town
03s7gtk40,51,Leipzig University
00qqv6244,51,Medical College of Wisconsin
03angcq70,50,University of Birmingham
01070mq45,50,Wayne State University
027bh9e22,50,Leiden University
02der9h97,50,University of Connecticut
051escj72,50,Université de Montpellier
03v4gjf40,50,Technische Universität Berlin
00kx1jb78,50,Temple University
05syd6y78,50,Universidade Federal do Paraná
02p77k626,50,University of Rome Tor Vergata
04v76ef78,50,Kiel University
05ynxx418,50,Linköping University
03qxff017,49,Hebrew University of Jerusalem
01dr6c206,49,Polish Academy of Sciences
02yrq0923,49,Memorial Sloan Kettering Cancer Center
03bqmcz70,49,Jagiellonian University
042xt5161,49,University Health Network
047272k79,48,University of Western Australia
029brtt94,48,Université Claude Bernard Lyon 1
023hj5876,48,Dalian University of Technology
02gfc7t72,48,Consejo Superior de Investigaciones Científicas
00fbnyb24,48,University of Würzburg
04cw6st05,48,University of London
006w34k90,48,Howard Hughes Medical Institute
030eybx10,48,Universidade de Santiago de Compostela
03rc6as71,47,Tongji University
012tb2g32,47,Tianjin University
05gq02987,47,Brown University
04q78tk20,47,Sungkyunkwan University
01cby8j38,47,Universidad Autónoma de Madrid
03qn8fb07,47,Commonwealth Scientific and Industrial Research Organisation
042twtr12,47,Centers for Disease Control and Prevention
03cv38k47,47,University Medical Center Groningen
00f1zfq44,46,Central South University
04rswrd78,46,Iowa State University
02e7b5302,46,Nanyang Technological University
01aff2v68,46,University of Waterloo
022kthw22,46,University of Rochester
04rq5mt64,46,"University of Maryland, Baltimore"
04tsk2644,46,Ruhr University Bochum
05apxxy63,46,Korea Advanced Institute of Science and Technology
05t8y2r12,46,Soochow University
04njjy449,46,Universidad de Granada
02s6k3f65,46,University of Basel
03rp50x72,46,University of the Witwatersrand
01vjw4z39,46,Southern Medical University
00d80zx46,46,Chang Gung University
02mh9a093,46,Pitié-Salpêtrière Hospital
01zkghx44,45,Georgia Institute of Technology
02hh7en24,45,University of Colorado Denver
03ad39j10,45,University of Pisa
03k1gpj17,45,Colorado State University
0107c5v14,45,University of Genoa
01r9htc13,45,Université Libre de Bruxelles
02xfp8v59,45,Universidade de Brasília
000xsnr85,45,University of the Basque Country
04vmvtb21,45,Tulane University
04zaypm56,45,National Research Council
004raaa70,45,Université de Toulouse
05bqach95,44,National Taiwan University
026zzn846,44,Queen Mary University of London
02kn6nx58,44,Keio University
01c4pz451,44,Tehran University of Medical Sciences
043mer456,44,University of Nebraska–Lincoln
05dq2gs74,44,Vanderbilt University Medical Center
01eezs655,44,University of Regensburg
05qbk4x57,43,University of Chinese Academy of Sciences
05n3x4p02,43,Medical University of Vienna
02e2c7k09,43,Delft University of Technology
03b94tp07,43,University of Auckland
04qr3zq92,43,University of Electronic Science and Technology of China
05qghxh33,43,Stony Brook University
03xjwb503,43,Université Paris-Saclay
026vcq606,43,KTH Royal Institute of Technology
04vnq7t77,43,University of Stuttgart
046865y68,43,Hanyang University
059sp8j34,43,Instituto Politécnico Nacional
00ms48f15,43,Air Force Medical University
